method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
garnett...12,0.24793215026866472,0.23974945485250004,0.6611834932981423,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
singleR...13,0.7884281102557735,0.6907268602566536,0.9544880018981775,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
cellassign...14,0.5954050517589795,0.5002380303221721,0.9069071579164695,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,TRUE
scmap_cluster...15,0.353105780955173,0.5058710311038331,0.5122205602891464,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
scmap_cell...16,0.24990370833464934,0.46823738822139854,0.443286248890928,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
chetah...17,0.3055622940421505,0.46724721070068537,0.4402405367916996,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
singlecellnet...18,0.7963820790466475,0.7648971722002106,0.8439208676029614,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
garnett...19,-0.02876139672589406,0.1372019486912173,0.3183167583956027,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
singleR...20,0.7139839124466609,0.7129716268104728,0.7885727985594081,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
cellassign...21,0.589174107076106,0.6073373561673098,0.7128162717870528,NA,NA,NA,TRUE,GSE96583_batch1_3_samples,0.9286376239776214,1.6470053020841326,0.04820362653451965,0.026579569771370645,8,0.42704626334519574,0.9783005524250711,1405,17758,GSE96583_batch1_3_samples,0.920210149425786,1.6506048372577304,0.047049217254195294,0.025002815632391033,8,0.4257142857142857,0.9785250108602964,700,17758,0.05,FALSE
scmap_cluster...22,0.438351693370591,0.5258098345005222,0.583878243590069,0.3560171919770774,7,0.3560171919770774,TRUE,GSE96583_batch1_3_samples,0.9287406151351412,1.6470053020841326,0.04825993918234035,0.026579569771370645,8,0.42704626334519574,0.9782990293783684,1405,17758,GSE96583_batch1_3_samples,0.9197489983000204,1.6477210864584964,0.04741524946502985,0.023848406352066677,8,0.4269340974212034,0.97846299387725,1396,17758,0.1,NA
