method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
singleR...20,0.9280351196704796,0.8966890688496107,0.948105169890935,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,FALSE
cellassign...21,0.8367998447016439,0.7875704741065105,0.8816001373138237,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.556957697418466,1.6169209160705402,5.242289303779789,4.5473205662096134,7,0.3968253968253968,0.726262210496683,819,18902,0.4,FALSE
scmap_cluster...22,0.9378375309722716,0.8897475928337852,0.9528564153319933,0.011419249592169658,8,0.3890701468189233,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
scmap_cell...23,0.9219542283836019,0.8592866613924995,0.9409248028728587,0.04730831973898858,8,0.38743882544861336,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
chetah...24,0.8361706411949945,0.759026185554328,0.8755239450680514,0.041598694942903754,8,0.3621533442088091,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
singlecellnet...25,0.9872648643558407,0.9754429274614127,0.9903669992699465,0,7,0.399673735725938,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
garnett...26,0.3734561366297975,0.5434196055688606,0.5080044279853617,0.30587275693311583,8,0.30587275693311583,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
singleR...27,0.9600050514767805,0.9308600797491171,0.9697071316011514,0,7,0.3964110929853181,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
cellassign...28,0.9248716018125647,0.8863399935468177,0.9429865341991318,0,7,0.3841761827079935,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,NA
scmap_cluster...29,0.9838310688717294,0.9743538811439589,0.9875158322505009,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
