method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,dataset,complexity,entropy,seq_depth_med,seq_depth_IQR,cell_types,cell_type_max_pctg,sparsity,sample_num,gene_num,quantile,assigned
sc3...45,0.535340879812091,0.6604126188877704,0.6841016053967235,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
liger...46,0.5580767701526466,0.5232193185920828,0.7010878328017165,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,NA
seurat...47,1,1,1,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
tscan...48,0,0,0.48981563351807145,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
sc3...49,0.9072875534475104,0.8867525281236804,0.9303473644222328,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
liger...50,0.8826951730009697,0.8320077759651748,0.9121034881575903,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,TRUE
seurat...51,0.6466729987072349,0.6752012113028624,0.7662178576328038,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
tscan...52,0,0,0.6010931208482218,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
sc3...53,0.533717430787821,0.6585276833859061,0.6836824010211897,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
liger...54,0.5563283467200555,0.5210356878595259,0.7005266857892184,NA,NA,NA,FALSE,ADASD_autism,0.8333825363381766,1.3534311234380323,0.015487703107358499,9.326984438662797e-4,7,0.5546635182998819,0.9871344818087291,4235,40742,0.04,FALSE
seurat...55,0.0077392012237209856,0.030236059664390982,0.3302812327400482,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
tscan...56,-1.1876070486363366e-4,0.008721925048928622,0.36167003097730316,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
sc3...57,0.0021998848334200773,0.012319943056170762,0.4219758786402736,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
liger...58,0.00689614719153837,0.029965291255697756,0.30683478018142474,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,NA
seurat...59,0.012928527231690683,0.04353281459455672,0.35436681571952655,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
tscan...60,0.0048805342273628705,0.01543039896711971,0.37570897670487685,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
sc3...61,0.004009233552086474,0.018900776549557668,0.4185382761368605,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
liger...62,0.013377010785164714,0.04528097603914539,0.35009122261031084,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,TRUE
seurat...63,0.003052877249555234,0.011688795759597505,0.3401569593676764,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
tscan...64,-0.001143628338777627,0.0024034239061790173,0.3992885482435707,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
sc3...65,0.001358082627471738,0.0034094035068677636,0.45658905463462224,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
liger...66,0.0019754795869035575,0.009493534351491601,0.2826028843476282,NA,NA,NA,FALSE,ADASD_autism,0.964960158236802,0.09082410104264134,0.6856069903293898,0.20856855333562407,2,0.9818312216112838,0.8125688511579011,4183,40742,0.96,FALSE
