method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,train_test_correlation,type_pctg,type_num,assigned
singlecellnet...11,1,1,1,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
garnett...12,0,0,0.8578215883928642,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
singleR...13,0.9922028891958968,0.9262516908739017,0.9979332636478166,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
cellassign...14,0,0,0.8578215883928642,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,TRUE
scmap_cluster...15,0.7594123968692273,0.6397781652118313,0.8189897155954037,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
scmap_cell...16,0.7505851576847511,0.7103831806379777,0.8177724803081096,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
chetah...17,0.7976333811490002,0.684672277355943,0.8479217013019729,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
singlecellnet...18,0.9551114717825087,0.91687032163767,0.9665666310657688,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
garnett...19,0,0,0.5049922457413621,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
singleR...20,0.8692270501656908,0.8088677739399478,0.9024705492147459,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
