method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_num,assigned
tscan...56,0.23516795313337652,0.3544591196326062,0.34647971440907316,NA,FALSE,100,NA
sc3...57,0.5196978173409972,0.6145306772668834,0.5984132620652781,NA,FALSE,100,NA
liger...58,0.4713480585483887,0.5846625911626478,0.5398450648113231,NA,FALSE,100,NA
seurat...59,0.7517769552407888,0.8442544495884067,0.7877404975489216,NA,FALSE,100,TRUE
tscan...60,0.3543037245498875,0.4710815039315698,0.45617297483598285,NA,FALSE,100,TRUE
sc3...61,0.6590793119219241,0.7383701543455223,0.7121416732113879,NA,FALSE,100,TRUE
liger...62,0.7067813708214451,0.7699091224430529,0.7464706659458084,NA,FALSE,100,TRUE
seurat...63,0.5703194289232338,0.6819753627337454,0.6321997121088699,NA,FALSE,100,FALSE
tscan...64,0.22110375800929843,0.3425273668720017,0.33438831704856997,NA,FALSE,100,FALSE
sc3...65,0.49606754067277187,0.5992685227473783,0.5818857557900873,NA,FALSE,100,FALSE
liger...66,0.42858307626821257,0.5609946357091923,0.5062066082107013,NA,FALSE,100,FALSE
seurat...67,0.6131860928485123,0.702355298910832,0.6688228733673403,NA,FALSE,200,NA
tscan...68,0.24424991332976795,0.35458962811704564,0.35208775343509496,NA,FALSE,200,NA
sc3...69,0.5242956006383049,0.6266420976018683,0.591420385926927,NA,FALSE,200,NA
liger...70,0.46870249289360316,0.5458012725388994,0.5321560158261406,NA,FALSE,200,NA
seurat...71,0.7617695367538796,0.842830217838447,0.7960390820502764,NA,FALSE,200,TRUE
tscan...72,0.33608046247928913,0.45715004820525507,0.44400227855382624,NA,FALSE,200,TRUE
sc3...73,0.7074066000234125,0.7786345193750477,0.7482454570732711,NA,FALSE,200,TRUE
liger...74,0.6627383399866769,0.6784390169391117,0.70938864592219,NA,FALSE,200,TRUE
seurat...75,0.5880162372602816,0.6728328464183146,0.649502051745496,NA,FALSE,200,FALSE
tscan...76,0.22949264786176696,0.3399899961100625,0.3394476729293074,NA,FALSE,200,FALSE
sc3...77,0.4912343466975119,0.5947689974897336,0.566704861274191,NA,FALSE,200,FALSE
liger...78,0.4232680304326572,0.5199406443346912,0.49325801945494996,NA,FALSE,200,FALSE
seurat...79,0.6564867119815336,0.6890787377680992,0.7015748408164184,NA,FALSE,400,NA
tscan...80,0.2978813537031812,0.38746195252960697,0.4043856677963332,NA,FALSE,400,NA
sc3...81,0.5892744511281293,0.6311180099796099,0.6475083776682727,NA,FALSE,400,NA
liger...82,0.5183949410495415,0.5758838044995708,0.579019316763908,NA,FALSE,400,NA
seurat...83,0.7914361679068908,0.7995640304118866,0.8210302323789559,NA,FALSE,400,TRUE
tscan...84,0.40311428473132976,0.48932388837709095,0.5004122460151278,NA,FALSE,400,TRUE
sc3...85,0.717300473983769,0.7539516714695748,0.7623560542777515,NA,FALSE,400,TRUE
liger...86,0.7151692547949116,0.7162116378609258,0.7554676782668467,NA,FALSE,400,TRUE
seurat...87,0.6219979766369518,0.6609375287783577,0.6728563714247092,NA,FALSE,400,FALSE
tscan...88,0.2671471370147805,0.36047791627527204,0.37769599790764014,NA,FALSE,400,FALSE
sc3...89,0.5498050376513415,0.5952763439320604,0.6139543451914758,NA,FALSE,400,FALSE
liger...90,0.45918305363513207,0.5372051901228174,0.5279246406346654,NA,FALSE,400,FALSE
