method,ARI,AMI,FMI,unlabeled_pctg,sample_num,assigned,supervised
cellassign...42,0.2767181342573005,0.4643486424089968,0.5044754058722764,0,400,NA,TRUE
scmap_cluster...43,0.9901148441091544,0.9526987314364594,0.9927996785490784,NA,400,TRUE,TRUE
scmap_cell...44,0.9829361553972888,0.9339420800815518,0.987598131993337,NA,400,TRUE,TRUE
chetah...45,0.9661195527141249,0.9188442619780792,0.975286782358935,NA,400,TRUE,TRUE
singlecellnet...46,0.9835429732531522,0.9296858876536478,0.9880067056513357,NA,400,TRUE,TRUE
garnett...47,0.8650624712383783,0.7443174630500038,0.9028233799483372,NA,400,TRUE,TRUE
cellassign...48,0.8799546872016558,0.7577277944935981,0.9166737049677725,NA,400,TRUE,TRUE
scmap_cluster...49,0.4806612485311592,0.5683419495808236,0.5538140987824756,NA,400,FALSE,TRUE
scmap_cell...50,0.17071585337283562,0.35385908311730746,0.4425855664002201,NA,400,FALSE,TRUE
chetah...51,0.4275837506206238,0.4688507074276226,0.5058741726172961,NA,400,FALSE,TRUE
singlecellnet...52,0.5244367826490322,0.6220104346361633,0.5972449041326826,NA,400,FALSE,TRUE
garnett...53,0.06504609862938036,0.18047036149072787,0.26339746772040423,NA,400,FALSE,TRUE
cellassign...54,0.14649675020675412,0.2926428645645062,0.45582204622603295,NA,400,FALSE,TRUE
seurat...55,0.419437474673187,0.537378042181425,0.5459233945252476,NA,100,NA,FALSE
tscan...56,0.3547014433349236,0.4962553113447243,0.4459922750048956,NA,100,NA,FALSE
sc3...57,0.5525038272312088,0.6528389144261965,0.6140786121594597,NA,100,NA,FALSE
liger...58,0.37750453296802966,0.576689861131711,0.5256740966193635,NA,100,NA,FALSE
seurat...59,0.982150195100017,0.87119065560394,0.9910754719248371,NA,100,TRUE,FALSE
tscan...60,0.9280981903887532,0.7714863843743665,0.9632987362491607,NA,100,TRUE,FALSE
sc3...61,0.9840248953611609,0.895907160150701,0.9918984250700609,NA,100,TRUE,FALSE
liger...62,0.9083411398229227,0.8170500748001169,0.9529261201090038,NA,100,TRUE,FALSE
seurat...63,0.33447774554804516,0.445193733055888,0.4939161892375497,NA,100,FALSE,FALSE
tscan...64,0.26675909904792583,0.4135678697631766,0.3827018230403845,NA,100,FALSE,FALSE
sc3...65,0.47104411852694167,0.583599154073679,0.5531918936961241,NA,100,FALSE,FALSE
liger...66,0.30473657968802637,0.5044662975132648,0.4868005018034447,NA,100,FALSE,FALSE
seurat...67,0.49502109410208245,0.6097842911314564,0.6100629889590508,NA,200,NA,FALSE
tscan...68,0.41799731805866336,0.5672053462167124,0.50798805438174,NA,200,NA,FALSE
sc3...69,0.5962348047549569,0.6714829757829218,0.6538550422144788,NA,200,NA,FALSE
liger...70,0.3967518328961798,0.574685561701519,0.5170968428362144,NA,200,NA,FALSE
seurat...71,0.9775174823890866,0.8862778442811876,0.9857116804705968,NA,200,TRUE,FALSE
tscan...72,0.8876333984820436,0.7547432221194889,0.9279058860103027,NA,200,TRUE,FALSE
sc3...73,0.9876718930544937,0.9214499884330336,0.9921119921572326,NA,200,TRUE,FALSE
liger...74,0.9648044794221481,0.8609189071393364,0.9774543010792069,NA,200,TRUE,FALSE
seurat...75,0.38699405213715066,0.49556474763269703,0.5478912511354288,NA,200,FALSE,FALSE
tscan...76,0.33440604007880875,0.4781488898363645,0.4549466021876095,NA,200,FALSE,FALSE
sc3...77,0.47981312254677744,0.5701851605512888,0.5667710910692416,NA,200,FALSE,FALSE
liger...78,0.2716172484602194,0.4579015967365435,0.4410870105197293,NA,200,FALSE,FALSE
seurat...79,0.544466949276942,0.6567989066632383,0.6263647756799738,NA,400,NA,FALSE
tscan...80,0.4278541395480746,0.5865651122349638,0.5230959041722996,NA,400,NA,FALSE
sc3...81,0.624855796889077,0.6916366694317857,0.6778769051049929,NA,400,NA,FALSE
liger...82,0.37740931637785796,0.5799416726840358,0.519240566026212,NA,400,NA,FALSE
seurat...83,0.9543787584753071,0.8898291377176443,0.966879633489006,NA,400,TRUE,FALSE
tscan...84,0.752897236274116,0.7041870254320165,0.822203810306024,NA,400,TRUE,FALSE
sc3...85,0.9760476046135712,0.9124020662887466,0.9825544598266694,NA,400,TRUE,FALSE
liger...86,0.9352812751894706,0.8326231535659838,0.9528293149684998,NA,400,TRUE,FALSE
seurat...87,0.40475997655497886,0.5316344729777773,0.5354371471921185,NA,400,FALSE,FALSE
tscan...88,0.3513422131790924,0.5005564529438447,0.4790092985808486,NA,400,FALSE,FALSE
sc3...89,0.4734700548725624,0.5719457646653845,0.5648894467775107,NA,400,FALSE,FALSE
liger...90,0.23173864703308264,0.4328901002202039,0.4432031289888657,NA,400,FALSE,FALSE
