method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,train_test_correlation,unknown_type,assigned
scmap_cluster...22,0.5290613050047175,0.6082283236145025,0.5596438623268241,0.0943952802359882,25,0.13982300884955753,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
scmap_cell...23,0.07960064813515577,0.2955233442401946,0.2725388284110151,0.6442477876106195,20,0.6442477876106195,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
chetah...24,0.30372323293293263,0.5170587381344022,0.3549193490933462,0.21474926253687315,25,0.21474926253687315,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
singlecellnet...25,0.8357207373661248,0.8524433637534179,0.8471731925868327,0.0017699115044247787,25,0.1480825958702065,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
garnett...26,0.0215930812553269,0.09266578005286288,0.2570880066586372,0.8926253687315634,2,0.8926253687315634,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
singleR...27,0.6252280437800141,0.6771196887415819,0.6494855152182509,0,24,0.1463126843657817,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
cellassign...28,0.6234145782713825,0.6884735961897511,0.6485478339724303,0,25,0.15221238938053097,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,NA
scmap_cluster...29,0,0,0.9933109617167559,NA,NA,NA,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,TRUE
scmap_cell...30,0,0,0.9933109617167559,NA,NA,NA,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,TRUE
chetah...31,0,0,0.9041787156796731,NA,NA,NA,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,TRUE
singlecellnet...32,1,NA,1,NA,NA,NA,TRUE,midbrain_human,0.9684290976590609,2.9626430781326176,0.2723362859044596,0.21417234140597,24,0.12749349522983522,0.8770161590245285,1153,19531,midbrain_human,0.9715792854739576,3.0063400846510233,0.2700322564128821,0.21478674927039065,25,0.12389380530973451,0.8770232452485717,1695,19531,0.9990104738497745,hGaba,TRUE
