method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
cellassign...54,0.15337715302034147,0.3165161808234125,0.46807041313591385,NA,TRUE,0.08,FALSE
scmap_cluster...55,0.6636652533297075,0.6801730145807878,0.70991830262455,0.08162111215834118,TRUE,0.1,NA
scmap_cell...56,0.2726898289784044,0.4988203396464264,0.4651886346209645,0.5585296889726673,TRUE,0.1,NA
chetah...57,0.5515921679405326,0.6218936108590548,0.6129960481396535,0.1883129123468426,TRUE,0.1,NA
singlecellnet...58,0.6838043661977858,0.7224174204400412,0.7291602929962213,0,TRUE,0.1,NA
garnett...59,0.449064837199852,0.487545947286249,0.5229281807782946,0.1717247879359095,TRUE,0.1,NA
cellassign...60,0.22153619633920588,0.38013645664687706,0.49608584782515247,0,TRUE,0.1,NA
scmap_cluster...61,0.9903143860664979,0.9568827599512173,0.9927521056668432,NA,TRUE,0.1,TRUE
scmap_cell...62,0.9900805802065711,0.9495717633816885,0.9925921307123008,NA,TRUE,0.1,TRUE
chetah...63,0.9544056640039558,0.9080445918020502,0.9659064031809134,NA,TRUE,0.1,TRUE
singlecellnet...64,0.9903521124158076,0.9539059825399349,0.9927824015576443,NA,TRUE,0.1,TRUE
garnett...65,0.9282003690517671,0.8318839154173981,0.9461145824437925,NA,TRUE,0.1,TRUE
cellassign...66,0.8152125628991469,0.7133108611387076,0.875367186853293,NA,TRUE,0.1,TRUE
scmap_cluster...67,0.5693633750227848,0.6285559387720826,0.6305234948544103,NA,TRUE,0.1,FALSE
scmap_cell...68,0.1774166352128047,0.40576341567294255,0.4223091614519491,NA,TRUE,0.1,FALSE
chetah...69,0.44658652371794016,0.5686532231999601,0.5262059879802555,NA,TRUE,0.1,FALSE
singlecellnet...70,0.5992677930204521,0.6754572083141989,0.6594465938915505,NA,TRUE,0.1,FALSE
garnett...71,0.3345779470766804,0.4233533657010031,0.4272146704567579,NA,TRUE,0.1,FALSE
cellassign...72,0.15709055498146499,0.30968587878941456,0.4670459322164029,NA,TRUE,0.1,FALSE
seurat...73,0.5732182220182089,0.668037644099176,0.6482750379059783,NA,FALSE,0.03,NA
tscan...74,0.43814262584038594,0.5738451516462793,0.517962590487243,NA,FALSE,0.03,NA
sc3...75,0.2594922649066424,0.48148227298005425,0.3839602896335045,NA,FALSE,0.03,NA
liger...76,0.3273447719091727,0.5354969371841157,0.4781656251695068,NA,FALSE,0.03,NA
seurat...77,0.9616332643267526,0.9205890778236381,0.9715921134071501,NA,FALSE,0.03,TRUE
