method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
scmap_cluster...55,0.5510285074238279,0.6921876627476055,0.6588839221433745,0.30378202521350145,TRUE,0.05,NA
scmap_cell...56,0.9676851422480214,0.9305223332487221,0.9757577220716792,0.040666937779585195,TRUE,0.05,NA
chetah...57,0.7299643144967225,0.7527850049490928,0.797986584117634,0.11325742171614478,TRUE,0.05,NA
singlecellnet...58,0.9622357292276769,0.9430708665075033,0.9717482638945019,0,TRUE,0.05,NA
garnett...59,0.43287855599451663,0.5061484471643356,0.5579063336857217,0.12301748678324523,TRUE,0.05,NA
cellassign...60,0.9362129592308982,0.9154040099691924,0.9520777309285594,0,TRUE,0.05,NA
scmap_cluster...61,0.9938090084019544,0.9886077479838401,0.9954857185950833,NA,TRUE,0.05,TRUE
scmap_cell...62,0.9938090084019544,0.9886077479838401,0.9954857185950833,NA,TRUE,0.05,TRUE
chetah...63,0.982031570653269,0.9706680415553377,0.9868735137564136,NA,TRUE,0.05,TRUE
singlecellnet...64,0.9765521903160281,0.9695842882167889,0.9828831901956155,NA,TRUE,0.05,TRUE
garnett...65,0.565467559894861,0.6470920389535566,0.6746007974164568,NA,TRUE,0.05,TRUE
cellassign...66,0.9619684806101492,0.9449233667045158,0.9721661576079758,NA,TRUE,0.05,TRUE
scmap_cluster...67,0.38274390208714704,0.5922825754225046,0.5422672681912996,NA,TRUE,0.05,FALSE
scmap_cell...68,0.9559719735093654,0.9131915432548882,0.9667920957246955,NA,TRUE,0.05,FALSE
chetah...69,0.6537134025959469,0.7137041078284904,0.7379256113390883,NA,TRUE,0.05,FALSE
singlecellnet...70,0.9566657866560009,0.9355139080119697,0.967426577777489,NA,TRUE,0.05,FALSE
garnett...71,0.39371091538975905,0.4765633795945854,0.5224850369767201,NA,TRUE,0.05,FALSE
cellassign...72,0.9273109116835605,0.9057933893389175,0.9451044931192734,NA,TRUE,0.05,FALSE
seurat...73,0.5143168646587373,0.6719225517914472,0.6420670629322113,NA,FALSE,0.02,NA
tscan...74,0.24638444607082868,0.3866888499740845,0.4023397564185358,NA,FALSE,0.02,NA
sc3...75,0.2581128965336898,0.5189109040927709,0.43253866661122875,NA,FALSE,0.02,NA
liger...76,0.5418473592227692,0.6028708001076275,0.6617874977643006,NA,FALSE,0.02,NA
seurat...77,0.6090949491270865,0.7112061746364827,0.7185595980553025,NA,FALSE,0.02,TRUE
tscan...78,0.29143761377337957,0.39957304293157575,0.4640704956445434,NA,FALSE,0.02,TRUE
sc3...79,0.984813223873959,0.973737654985976,0.9889323268317386,NA,FALSE,0.02,TRUE
liger...80,0.7713076110118846,0.6964670926010706,0.8354287551037725,NA,FALSE,0.02,TRUE
seurat...81,0.5253451087897838,0.6773225678299951,0.6475154180138394,NA,FALSE,0.02,FALSE
tscan...82,0.2708231988935158,0.39700554140763916,0.4182981883721765,NA,FALSE,0.02,FALSE
sc3...83,0.0857319153141596,0.3576064016484895,0.37631327945817217,NA,FALSE,0.02,FALSE
liger...84,0.4584528323235968,0.5799340347156764,0.594734899582803,NA,FALSE,0.02,FALSE
seurat...85,0.5122036314932299,0.6753461425585796,0.640474601499816,NA,FALSE,0.03,NA
tscan...86,0.24262254717145432,0.4096157177126009,0.39980579502605673,NA,FALSE,0.03,NA
sc3...87,0.19672545118002865,0.49300268335988234,0.40524416507839095,NA,FALSE,0.03,NA
liger...88,0.42525484340380454,0.5891866329707316,0.5729500411475563,NA,FALSE,0.03,NA
seurat...89,0.5763456725964753,0.6988348645942903,0.6966485782767199,NA,FALSE,0.03,TRUE
tscan...90,0.2833841524542316,0.4181369323831725,0.4543957770648569,NA,FALSE,0.03,TRUE
sc3...91,0.9909730049295234,0.982445575117972,0.9934998475103151,NA,FALSE,0.03,TRUE
liger...92,0.5510388311236231,0.6430922749520486,0.6779180617592169,NA,FALSE,0.03,TRUE
seurat...93,0.5282536159494564,0.6824545542208866,0.6495049309204379,NA,FALSE,0.03,FALSE
tscan...94,0.24275328691779416,0.4152034469981972,0.3970661083512009,NA,FALSE,0.03,FALSE
sc3...95,0.05406739577830287,0.2892531395848932,0.38411176620651927,NA,FALSE,0.03,FALSE
liger...96,0.3838884603766336,0.5766528135531417,0.5365489595956573,NA,FALSE,0.03,FALSE
seurat...97,0.5169377484953186,0.67408582832425,0.6439020109766531,NA,FALSE,0.04,NA
tscan...98,0.26423630979300416,0.3931271594468607,0.4133637629326413,NA,FALSE,0.04,NA
sc3...99,0.15726374122931874,0.4635474989973815,0.39116378158846077,NA,FALSE,0.04,NA
liger...100,0.5389495072057401,0.6209353461433219,0.6605305584476016,NA,FALSE,0.04,NA
seurat...101,0.6081761977042455,0.7159278294485117,0.7162271565281664,NA,FALSE,0.04,TRUE
tscan...102,0.33555901340137495,0.43784536116700123,0.48710938051173885,NA,FALSE,0.04,TRUE
sc3...103,0.9933566293922511,0.9880711508748805,0.9951051439490568,NA,FALSE,0.04,TRUE
liger...104,0.7310487390800103,0.7016066902222635,0.8049864471109912,NA,FALSE,0.04,TRUE
seurat...105,0.5153683072859536,0.6725730284056852,0.6418538410009693,NA,FALSE,0.04,FALSE
tscan...106,0.26381685677000766,0.3856857610271609,0.41271349221040293,NA,FALSE,0.04,FALSE
sc3...107,0.037310522854526115,0.26056348441568233,0.3903206992634912,NA,FALSE,0.04,FALSE
liger...108,0.47580011000550776,0.6028629645210185,0.6118577092027115,NA,FALSE,0.04,FALSE
seurat...109,0.47062593582755124,0.6448114366919055,0.6088037335642603,NA,FALSE,0.05,NA
tscan...110,0.25555697663306387,0.39411637137180894,0.4109970422036291,NA,FALSE,0.05,NA
sc3...111,0.12603079601887918,0.4300744074307746,0.3829236855794888,NA,FALSE,0.05,NA
liger...112,0.44786099355143855,0.6054936891698105,0.5904189304471222,NA,FALSE,0.05,NA
seurat...113,0.5281081583073388,0.662452792907999,0.6582458799972344,NA,FALSE,0.05,TRUE
tscan...114,0.29159805661145954,0.400314997879293,0.46209537591335315,NA,FALSE,0.05,TRUE
sc3...115,0.9786867395876852,0.9650189137819153,0.9844215244794934,NA,FALSE,0.05,TRUE
liger...116,0.5660209920129112,0.6543222638728728,0.6863899653432424,NA,FALSE,0.05,TRUE
seurat...117,0.48136373089569234,0.6500807214263179,0.6155159648446669,NA,FALSE,0.05,FALSE
tscan...118,0.26272069669899006,0.3995320497900567,0.41440833024764373,NA,FALSE,0.05,FALSE
sc3...119,0.03633468894854385,0.23932249179296838,0.40407757534623534,NA,FALSE,0.05,FALSE
liger...120,0.4257712744732854,0.5979916932958894,0.5714795420744805,NA,FALSE,0.05,FALSE
