method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
singlecellnet...11,0.897699580845581,0.856920006746893,0.9292708135126059,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
garnett...12,0.43654380693728073,0.5244602574600421,0.5794605190649577,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
singleR...13,0.8860664848327149,0.8427252488784056,0.9206708985073333,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
cellassign...14,0.6966291985024771,0.6433343062588549,0.8079447262843056,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,TRUE
scmap_cluster...15,0.3308750114466436,0.5286086301890685,0.5114147122488075,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
scmap_cell...16,0.34447766957108217,0.4751745950858438,0.5236851135849057,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
chetah...17,0.4169005322927071,0.4823558941603668,0.5446964772178805,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
singlecellnet...18,0.8431250157425415,0.7625568411725856,0.8865572270574706,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
garnett...19,3.6040606460481024e-4,0.1856134739326382,0.3410151020665224,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
singleR...20,0.7935533496640537,0.7229085384415046,0.8490614311298632,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
cellassign...21,0.700422640066454,0.6509904942752878,0.7854497852360854,NA,NA,NA,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9569565294486978,1.656705520645804,0.07661616745692147,0.06401063952816005,8,0.41607898448519043,0.9643263119211225,709,17294,0.05,FALSE
scmap_cluster...22,0.45798406115352297,0.5867589377519167,0.58859282600015,0.33780918727915193,8,0.33780918727915193,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9238444362016549,1.6548925539699355,0.07748352029605643,0.07178790331907023,8,0.4169611307420495,0.9643863493987376,1415,17294,0.1,NA
scmap_cell...23,0.44587786066766055,0.512096470904019,0.587340906274439,0.3469964664310954,8,0.3469964664310954,TRUE,GSE96583_8_Stim_Pats,0.8671263530322398,1.6548925539699355,0.07465016768821557,0.06323002197293859,8,0.4169611307420495,0.9651011952510338,1415,17294,GSE96583_8_Stim_Pats,0.9238444362016549,1.6548925539699355,0.07748352029605643,0.07178790331907023,8,0.4169611307420495,0.9643863493987376,1415,17294,0.1,NA
