method,ARI,AMI,FMI,unlabeled_pctg,supervised,train_dataset,test_dataset,batch_effects_removed,assigned
cellassign...20,0.6734809234834208,0.6836457918546479,0.7567458909362309,0.014690809702767338,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,NA
scmap_cluster...21,0.0663673268544716,0.08621668826333931,0.777484271684699,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
scmap_cell...22,0.0663673268544716,0.08621668826333931,0.777484271684699,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
chetah...23,0.0663673268544716,0.08621668826333931,0.777484271684699,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
singlecellnet...24,0.0663673268544716,0.08621668826333931,0.777484271684699,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
cellassign...25,0.32624050293743373,0.2093326970899343,0.8085652327126363,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,TRUE
scmap_cluster...26,0.004628421718997397,0.011552260249388954,0.501513001984086,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
scmap_cell...27,0.5368177586151404,0.48906686533379323,0.6930617558214347,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
chetah...28,0.18728989057839315,0.2151770725537722,0.5438541729383198,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
singlecellnet...29,0.49856114765789217,0.5741166472640166,0.6167505211504721,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
cellassign...30,0.6726197210511654,0.6893847157157951,0.7566704170779618,NA,TRUE,PBMC_AllCells_withLabels,GSE96583_8_Ctrl_Pats,FALSE,FALSE
chetah...31,0.2198040403930322,0.37624795010696704,0.47638389572728945,0.044579533941236066,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,NA
chetah...32,0.2205978204381279,0.3807295046013052,0.49348916959985073,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,TRUE
chetah...33,0.19244807906541908,0.3401972158742874,0.40432006660471703,NA,TRUE,GSE96583_8_Ctrl_Pats,PBMC_AllCells_withLabels,TRUE,FALSE
